Question,Answer
"Primary use of policies based on file types in Zscaler DLP","To protect data by allowing or blocking specific file types and activities."
"Three levels of inspection used by Zscaler DLP for file type enforcement","Magic Bytes, Mime Type, and File Extension."
"Reason for multiple levels of inspection for file types in Zscaler","To prevent users from bypassing policies by changing file extensions."
"Predefined dictionaries in Zscaler DLP","Classifiers used to identify sensitive data like PCI, PII, and PHI data."
"Example of a predefined dictionary used in Zscaler DLP","A credit card number dictionary."
"Custom dictionary in Zscaler DLP","A dictionary created by customers using specific phrases, keywords, patterns, and regular expressions."
"Use of custom dictionaries in Zscaler DLP","To protect documents with specific headers and footers like 'company-confidential' or 'internal-use only'."
"Exact Data Match (EDM) in Zscaler DLP","A feature that matches specific data elements from a customer's structured data to trigger DLP policies."
"How sensitive data is fed to Zscaler's EDM engine","By using an on-premises VM that indexes the data and sends hashes to the Zscaler cloud."
"What happens to data fed into Zscaler's EDM engine","It is converted into hashes and tokens which are stored in the cloud."
"Actions triggered by an EDM in Zscaler DLP","Actions based on exact matches of sensitive data elements, such as blocking or alerting on data exfiltration."
"Main purpose of Out-of-Band Data Protection in Zscaler","To secure data at rest in SaaS-based services and public cloud infrastructure."
"Key use case for out-of-band data protection in Zscaler","Data discovery and data at rest introspection."
"Focus of SaaS Security Posture Management (SSPM)","Cloud misconfiguration, compliance, and third-party app connections."
"How SSPM helps with compliance","By mapping misconfigurations to different compliance frameworks like PCI, GDPR, etc."
"Example of a misconfiguration identified by SSPM","Failing to enable multi-factor authentication for Office 365 apps."
"How SSPM handles third-party app connections","By discovering and managing third-party apps connected to cloud applications via API tokens."
"Three notification methods in Zscaler for incident management","Browser-based notifications, Slack/Teams connectors, and Zscaler Client Connector pop-ups."
"Admin capabilities with email notifications in Zscaler incident management","Receive alerts about DLP and CASB incidents."
"Protocol used for incident management in Zscaler","SecureICA protocol."
"Integration of Zscaler logs with SIEM tools","By streaming real-time logs to feed into the SIEM."
"Purpose of the Zscaler Client Connector pop-up","To communicate with users about blocked transactions and ask for justifications."
"Support options available for troubleshooting in Zscaler","Self Help support, reporting capabilities, and support ticket raising."
"Role of the on-premises VM in Zscaler EDM","It serves as the index tool for structured data."
"Key feature of Zscaler's predefined dictionaries for medical data","Identifying ICD-10 and CPT codes."
"Technology used in some dictionaries to identify complex patterns","AI and ML."
"How admins can delegate incident management tasks back to users","Through browser-based notifications, Slack/Teams connectors, or Zscaler Client Connector pop-ups."
"Benefit of using Zscaler's predefined dictionaries","They are based on standard regex and PCRE engines."
"How Zscaler ensures no sensitive data is stored during EDM","By storing only hashes and tokens, not the exact data."
"First step in leveraging Zscaler's support services for troubleshooting","Utilizing the Self Help support options offered by Zscaler."
"Where to go for questions about Zscaler's features and basic troubleshooting","Zscaler Help Documentation Portal."
"Content of the Zscaler Knowledgebase (KB)","Documentation on specific symptoms and solutions maintained by Global Customer Service Engineers."
"Purpose of Zscaler Communities Zenith Community","To engage in discussions about Zscaler products, solutions, programs, events, and training."
"Areas to localize when troubleshooting an Internet access issue with Zscaler","End user's device, local network, corporate firewall, Zscaler Cloud, identity provider, between Zscaler and internet, and Zscaler service."
"Next step after localizing the issue in the Zscaler Troubleshooting Process","Isolate which logical process is failing."
"What to do after isolating the issue","Diagnose the problem from the gathered information and plan remedial action."
"Use of the URL in Zscaler","To verify if you are going through the Zscaler service."
"What the URL provides","Performance testing from the client to the Zscaler service."
"How to run a ZCC packet capture","Enable packet capture in the ZCC Portal, then click More > Troubleshoot > Start Packet Capture, reproduce the issue, and click Stop Packet Capture."
"Types of logs set in Zscaler Client Connector","Error, Warn, Info, and Debug logs."
"Where to export logs from in Zscaler Client Connector","Right-click on the Tray Icon or use the Export Logs option in debug mode."
"What to check in the Logs for installation issues","Setupapi.dev logs."
"How to collect SAML logs","Using browser's Developer Tools or Fiddler, and the SAML Message Decoder extension."
"Purpose of the Zscaler Trust page","To provide information on the overall status of Zscaler services, service availability, recent incidents, advisories, and maintenance notifications."
"Premium Support in Zscaler","A paid upgrade from standard support that includes elevated services such as a Technical Account Manager (TAM)."
"How to enable remote assistance in Zscaler","Enable Read Only mode to allow support team to review configurations."
"How customers without Zscaler console access can submit support tickets","Via a web form."
"Information to include in the Issue Subject field of a support ticket","A summary of the problem with the main symptom and scope."
"Triggers for gathering specific information for Zscaler support","Issue type, such as Traffic Forwarding Method, Zscaler Cloud, Data Centers used, problem period, issue scope, trigger event, and work-around."
"What to provide in the Description field of a support ticket","A detailed description of the problem, symptoms, locations, suspected process, and steps taken to identify the problem."
"Zscaler Client Connector's Debug log mode","Logs all app activity that could assist in debugging issues."
"Use of ZSATunnel logs","To inspect the connection to service edge, Zscaler Client Connector Portal, or any application being accessed."
"Information from ip.zscaler.com","Information about whether the user is going through Zscaler service."
"How to collect SAML logs via browser extensions","Use SAML Message Decoder from Chrome or Firefox Add-ons Manager."
"Role of Zscaler Global Customer Service Engineers in the Knowledge Base","They maintain documentation on specific symptoms and solutions."
"First step in the Zscaler troubleshooting process","Localize the issue."
"Usefulness of checking the Zscaler Trust page when facing service issues","It can save troubleshooting time and effort by providing current service status and incidents."
"Zero Trust Exchange","To securely connect users and applications while enforcing security controls."
"Zero Trust Connectivity","Zero trust connections are independent of any network for control or trust."
"Zscaler Client Connector","A lightweight app that enforces security policies and access controls on user endpoints."
